url,title,description,category
https://surfit.io/link/GAjLg,react-query,"react-query는 리액트 애플리케이션에서 서버 상태 가져오기, 캐싱, 동기화 및 업데이트를 보다 쉽게 다룰 수 있도록 도와주며 클라이언트 상태와 서버 상태를 명확히 구분하기 위해서 만들어진 라이브러리이다.
react-query에서 기존 상태 관리 라이브러리(redux, mobX)는 클라이언트 상태 작업에 적합하지만 비동기 또는 서버 상태 작업에는 그다",React
https://surfit.io/link/Q6AJX,리액트로 만든 게임에 사운드 추가하기,최근 주말마다 아이를 위해 리액트로 간단한 게임을 만들고 있습니다. 무한의 계단이란 게임을 너무 집중해서 하길래 게임에서 아이한테 위해가 될 수 있는 중독적인 요소는 빼고 핵심 재미(?)만 갖고 있는 게임을 만들어볼 심산이었죠. 단순히 계단을 좌우로 오르면서 얻은 점수로 아바타를 사거나 해서 캐릭터를 꾸밀 수 있는 게임인데 여기서 점수로 게임 내의 재화를 ,React
https://surfit.io/link/qyWg2,리액트(React) CORS 해결하기 (feat. 프록시(Proxy) 구축),"일반적으로 브라우저는 보안 문제로 인해 동일 출처 정책(SOP, Same Origin Policy)을 따릅니다. 
두 URL의 프로토콜, 호스트, 포트가 모두 같아야 동일한 출처로 볼 수 있는데, 
예를 들어 a-service.com 호스트에게 받은 페이지에서 b-service.com 호스트로 데이터를 요청할 수 없습니다. 
출처가 다른 호스트로 데이터를 ",React
https://surfit.io/link/Xe41k,마이리얼트립 웹사이트 성능 측정 및 최적화 Part 2. 렌더링,"렌더링: 컴퓨터 프로그램을 사용하여 모델로부터 영상을 만들어내는 과정렌더링의 정의를 웹사이트에 대입하면 브라우저가 HTML 문서로부터 사용자가 인지하고 상호작용할 수 있는 화면을 만들어내는 과정이 됩니다.CSS는 시각을 통해 화면의 구조를 인지할 수 있도록 돕습니다. UI 요소의 위치와 여백, 크기, 색상 등을 지정합니다. 그리고 상호작용은 버튼을 누르거나",React
https://surfit.io/link/Bljmp,마이리얼트립 웹사이트 성능 측정 및 최적화 Part 1. 리소스 로딩,네트워크 대역폭 제한네트워크 탭에서 옵션을 선택해 원하는 속도로 시뮬레이션할 수 있습니다. 성능 측정 시 Fast 3G를 기준으로 진행했습니다.2. 캐시 비활성화Disable cache 옵션으로 리소스 캐시를 비활성화해 웹사이트 첫 방문과 동일한 환경을 유지할 수 있습니다.3. 타임라인 측정네트워크 탭에서는 시간의 흐름에 따른 리소스 로딩 정보를 분석할 수,React
https://surfit.io/link/Z8llb,React Deep Dive — React Event System (2),리액트 17버전이 발표되면서 발표한 공식문서의 첫 번째 섹션에는 “No New Features”라는 타이틀이 달려 있습니다. 즉 리액트 17버전에는 이전 버전에서 새롭게 추가된 API(문서의 설명에 따르면 “new developer-facing features”)가 없다는 의미입니다. 하지만 바로 다음 섹션에서 “Gradual Upgrades”에 대한 언급,React
https://surfit.io/link/7LO0m,styled-components의 StyleSheetManager 캐싱 문제,"styled-components를 사용하며 iframe 내부에서 외부 바깥에 존재하는 DOM에 style을 주입하기 위해선, StyleSheetManager를 사용해야 합니다.

styled-components에는 캐싱을 위한 로직이 들어가 있고, StyleSheetManager를 사용할 때 이것이 문제를 일으킬 수 있습니다.

실제로 발생한 문제를 해결하",React
https://surfit.io/link/BlOQ2,Infinite Scroll(무한 스크롤) with Intersection Observer,"Intersection Observer API는 ""상위 레벨 Document의 Viewport 또는 부모 요소""와 ""타겟 요소"" 간 교차 지점의 변화를 비동기적으로 관찰할 수 있는 방법을 제공한다.

Intersection Observer가 등장하기 전에는 어떤 요소가 화면에 보여지는지 감지하는 것은 매우 복잡한 일이었다. 따라서 요소의 visibility",React
https://surfit.io/link/6QelN,iOS 디바이스에서 body의 scroll을 막는 방법 (How to prevent body scrolling on iOS?),"보통 팝업창 내에 컨텐츠가 길어서 스크롤이 있는 경우에는
팝업 내부에만 스크롤이 잘 되게 하기 위해서 Dim 영역 뒤에 있는 body의 scroll은 막는 경우가 많다.

그리고 웹에서는 scroll 막는 것도 쉽게 처리할 수 있다.
바로 팝업이 떴을 때 body 태그에 overflow: hidden을 걸어줘서 scroll을 못하게끔 막아버리는 방법이다.
",React
https://surfit.io/link/p18AJ,리액트 라우터 v6 튜토리얼,"웹 애플리케이션에서 라우팅이라는 개념은 사용자가 요청한 URL에 따라 알맞는 페이지를 보여주는 것을 의미합니다. 웹 애플리케이션을 만들때 프로젝트를 하나의 페이지로 구성할 수도 있고, 여러 페이지를 구성할 수도 있겠지요. 
예를 들어, 우리가 이전에 만들었던 일정 관리 애플리케이션에서는 하나의 페이지로 충분할 수 있겠지만, 우리가 블로그를 만든다고 가정해봅",React
