url,title,description,category
https://surfit.io/link/RvxkW,"구글 딥마인드, 코딩하는 AI 알파코드 공개","딥마인드가 코딩하는 인공지능(AI) 알파코드(AlphaCode)를 개발했다고 2일(현지시간) 밝혔다. 구글과 같이 알파벳을 모회사로 둔 딥마인드는 바둑하는 AI 알파고와 단백질 구조를 예측하는 알파폴드를 개발한 것으로 유명하다.
딥마인드에 따르면 알파코드는 국제적인 프로그래밍 대회에서 상위 54% 성적을 거둬 인간 개발자 평균 실력을 보였다. 코딩하는 AI",빅데이터_AI_머신러닝
https://surfit.io/link/p1L4J,데이터 분석에 필수적인 5 가지 마인드,"데이터 분석의 중요성이 높아지면서 편리한 데이터 분석 도구와 기술이 속속 나타나고 있습니다. 그러나 효율적으로 데이터 분석을 하기 위해서는 일정한 사고방식과 절차가 필요합니다. 그것을 모르면 다기능 분석 도구와 기술에 휘둘려 ""분석을 위하여 분석"" 하는 경향이 있을 겁니다.  루트 (√), 인수 분해, 해석의 공식 등의 해결법으로 이차 방정식을 풀 수 있는",빅데이터_AI_머신러닝
https://surfit.io/link/9RjvZ,이벤트 기반의 라이브 스트리밍 추천 시스템 운용하기,"마이크로서비스와 이벤트 주도 아키텍처를 합쳐서 Event-driven Microservices라고도 부릅니다. 이벤트 주도 아키텍처에서는 API 호출이나 트랜잭션이 발생했을 때, 해당 트랜잭션을 처리하는 마이크로서비스가 이벤트를 공통 이벤트 버스(ex. Kafka)에 발행(publish) 하고, 해당 이벤트가 필요한 다른 마이크로서비스에선 이벤트를 구독(s",빅데이터_AI_머신러닝
https://surfit.io/link/VD6v4,"메타 AI 연구소, 음성·이미지·텍스트 다루는 단일 AI 알고리즘 개발","메타 인공지능 연구소(Meta AI research)가 음성, 이미지, 텍스트를 모두 다루는 단일 인공지능(AI) 알고리즘 ‘data2vec’을 개발했다고 20일(현지시간) 밝혔다.
음성, 이미지, 텍스트 각 분야에서 따로 성능을 낼 수밖에 없던 기존 AI 알고리즘 연구 패러다임을 완전히 바꾼 것.
해당 서비스는 향후 여러 종류 데이터를 함께 활용해야하는 ",빅데이터_AI_머신러닝
https://surfit.io/link/jlJE0,보이는 데이터가 다는 아니다...다크데이터의 세계,"다양한 분야에서 데이터가 분석이 갖는 중량감이 점점 커지고 있는데, 데이비드 핸드가 쓴 책 다크데이터는 보이지 않고, 인식할 수 없는 데이터, 제목대로 다크데이터의 중요성을 간과해서는 안된다고 강조한다.다크데이터라는 용어는 물리학의 암흑물질에 비유할 만 하다. 다크데이터는 우리한테 보이지 않으며 기록되지도 않지만 우리의 결론, 결정, 행위에 막대한 영향을 ",빅데이터_AI_머신러닝
https://surfit.io/link/bbGRq,"20살 먹은 AI 챗봇 ‘심심이’, 경쟁력은 윤리에 있다","스캐터랩 이루다가 등장하기 전, 우리나라 원조 챗봇 ‘심심이’가 있었다. 온라인 인공지능(AI) 챗봇 서비스인 심심이가 세상에 처음 등장한 것은 2002년. MSN 메신저로 처음 만들어진 후 2010년부터 애플리케이션으로 서비스되고 있다.
올해로 20살을 맞은 심심이가 최근 자연어 분야 AI에서 화두로 떠오르고 있다. 그 배경으로는 오픈AI의 GPT-3부터",빅데이터_AI_머신러닝
https://surfit.io/link/p1D80,CausalImpact는 어떻게 이벤트 효과를 추정할까?,"CausalImpactCausalImpact는 무엇이고, 왜 필요할까? CausalImpact는 시계열 데이터에서 의도적인 개입으로 인한 인과 효과를 추정하기 위한 방법론입니다.인과 효과를 확인하려면 A/B 테스트처럼 실험을 하는 것이 제일 좋습니다. 하지만 마케팅, 광고, 웹 서비스 등을 운영하다보면 실험을 수행하는 것이 어려운 경우가 많습니다. 특히 다",빅데이터_AI_머신러닝
https://surfit.io/link/vRbgl,우버의 실험 플랫폼 들여다보기,"Under the Hood of Uber’s Experimentation Platform - 실험은 우버의 고객 경험 개선의 핵심입니다. 우버는 앱 디자인을 개선하기 위해 새로운 기능들을 시도하는 것만큼 다양한 실험 방법들을 적용하곤 합니다.
Uber’s Experimentation Platform(XP)는 이 과정에서 중요한 역할을 수행합니다. 우리가 시",빅데이터_AI_머신러닝
https://surfit.io/link/zMdDG,머신러닝 모델로 동네생활 신고 업무 자동화하기,글을 필터링 하려면 내용에 따라 이 글이 동네생활 피드에 있어도 되는 글인지 확인해야 돼요. 제재할 글이라면 어떤 항목으로 제재하여 후속 조치를 할지도 분류해야 하구요. 그래서 글을 이해하고 적절하게 분류하는 글모델을 개발하고자 했어요.저희는 당근서비스 운영자들이 모델의 동작을 이해할 수 있게끔 복잡도를 낮추고 싶었어요. 또한 복잡도가 낮아지면 준-실시간으,빅데이터_AI_머신러닝
https://surfit.io/link/glrdy,"Metric의 발견, 재구성의 프레임워크","개요‘So What?‘이라는 질문에 답할 수 있는 지표들을 정리했다면, 지표들끼리의 관계를 설정해봅시다.North Star Metric을 정하는 것도 중요하지만, 그것에 영향을 미치는 선행지표 설정은 더욱 중요합니다.Product 분석은 결국 고객 행동 분석과 같은 의미입니다.Actionable, 그 이상지난 포스팅에서는 Product-Led Growth에",빅데이터_AI_머신러닝
